,,,,,,,,Fail Items,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITROEN,RELAY,2005,1,0,0,1,100,0,0,0,0,0,0,0,0,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITROEN,RELAY,2010,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITROEN,SAXO,1996,10,4,40,6,60,2,20,3,30,2,20,3,30,0,0,1,10,1,10,1,10,0,0,1,10,4,40,1,10,0,0,0,0
CITROEN,SAXO,1997,97,32,33,65,67,20,20.6,26,26.8,23,23.7,12,12.4,13,13.4,17,17.5,8,8.2,19,19.6,3,3.1,7,7.2,23,23.7,15,15.5,0,0,0,0
CITROEN,SAXO,1998,105,33,31.4,72,68.6,21,20,26,24.8,13,12.4,13,12.4,20,19,12,11.4,11,10.5,14,13.3,0,0,4,3.8,28,26.7,20,19,1,1,0,0
CITROEN,SAXO,1999,195,54,27.7,141,72.3,41,21,54,27.7,46,23.6,25,12.8,34,17.4,31,15.9,18,9.2,32,16.4,11,5.6,15,7.7,56,28.7,47,24.1,4,2.1,0,0
CITROEN,SAXO,2000,551,148,26.9,403,73.1,124,22.5,168,30.5,148,26.9,63,11.4,116,21.1,93,16.9,38,6.9,110,20,16,2.9,40,7.3,133,24.1,95,17.2,4,0.7,0,0
CITROEN,SAXO,2001,319,95,29.8,224,70.2,59,18.5,83,26,78,24.5,20,6.3,72,22.6,64,20.1,22,6.9,69,21.6,6,1.9,30,9.4,74,23.2,71,22.3,0,0,1,0.3
CITROEN,SAXO,2002,277,82,29.6,195,70.4,52,18.8,96,34.7,77,27.8,29,10.5,52,18.8,50,18.1,13,4.7,72,26,6,2.2,27,9.7,68,24.5,53,19.1,2,0.7,0,0
CITROEN,SAXO,2003,94,26,27.7,68,72.3,18,19.1,34,36.2,28,29.8,9,9.6,17,18.1,17,18.1,7,7.4,25,26.6,3,3.2,9,9.6,21,22.3,19,20.2,0,0,0,0
CITROEN,SAXO,2004,6,3,50,3,50,1,16.7,2,33.3,0,0,0,0,0,0,1,16.7,0,0,0,0,0,0,0,0,1,16.7,1,16.7,0,0,0,0
CITROEN,SAXO,2005,1,0,0,1,100,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0
CITROEN,SYNERGIE,1995,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITROEN,SYNERGIE,1996,1,0,0,1,100,1,100,1,100,1,100,0,0,1,100,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITROEN,SYNERGIE,1997,3,0,0,3,100,1,33.3,2,66.7,1,33.3,0,0,1,33.3,2,66.7,1,33.3,1,33.3,0,0,0,0,1,33.3,0,0,0,0,0,0
CITROEN,SYNERGIE,1998,5,0,0,5,100,3,60,4,80,3,60,0,0,0,0,1,20,0,0,3,60,1,20,0,0,1,20,0,0,0,0,0,0
CITROEN,SYNERGIE,1999,5,1,20,4,80,1,20,1,20,3,60,1,20,1,20,2,40,1,20,3,60,0,0,0,0,2,40,0,0,0,0,0,0
CITROEN,SYNERGIE,2000,13,3,23.1,10,76.9,2,15.4,4,30.8,6,46.2,0,0,3,23.1,6,46.2,4,30.8,7,53.8,0,0,1,7.7,1,7.7,1,7.7,1,7.7,0,0
CITROEN,SYNERGIE,2001,12,3,25,9,75,3,25,2,16.7,6,50,2,16.7,3,25,3,25,1,8.3,4,33.3,0,0,1,8.3,2,16.7,2,16.7,0,0,0,0
CITROEN,SYNERGIE,2002,4,1,25,3,75,0,0,2,50,0,0,0,0,2,50,0,0,0,0,0,0,0,0,2,50,0,0,0,0,0,0,0,0
CITROEN,VISA,1982,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITROEN,XANTIA,1994,7,2,28.6,5,71.4,2,28.6,1,14.3,2,28.6,1,14.3,0,0,0,0,1,14.3,0,0,1,14.3,0,0,1,14.3,0,0,0,0,0,0
CITROEN,XANTIA,1995,13,1,7.7,12,92.3,3,23.1,2,15.4,4,30.8,2,15.4,2,15.4,1,7.7,0,0,3,23.1,1,7.7,1,7.7,5,38.5,3,23.1,0,0,0,0
CITROEN,XANTIA,1996,28,13,46.4,15,53.6,5,17.9,9,32.1,7,25,1,3.6,2,7.1,3,10.7,0,0,5,17.9,2,7.1,1,3.6,1,3.6,3,10.7,0,0,0,0
CITROEN,XANTIA,1997,23,10,43.5,13,56.5,6,26.1,7,30.4,4,17.4,5,21.7,3,13,0,0,1,4.3,3,13,0,0,1,4.3,4,17.4,1,4.3,0,0,0,0
CITROEN,XANTIA,1998,91,22,24.2,69,75.8,14,15.4,27,29.7,27,29.7,23,25.3,19,20.9,4,4.4,4,4.4,24,26.4,3,3.3,1,1.1,26,28.6,7,7.7,1,1.1,0,0
CITROEN,XANTIA,1999,81,29,35.8,52,64.2,15,18.5,32,39.5,26,32.1,11,13.6,15,18.5,6,7.4,3,3.7,14,17.3,4,4.9,5,6.2,11,13.6,2,2.5,0,0,0,0
CITROEN,XANTIA,2000,124,50,40.3,74,59.7,14,11.3,22,17.7,35,28.2,22,17.7,13,10.5,6,4.8,6,4.8,28,22.6,11,8.9,8,6.5,30,24.2,11,8.9,1,0.8,0,0
CITROEN,XANTIA,2001,54,14,25.9,40,74.1,6,11.1,12,22.2,24,44.4,7,13,8,14.8,10,18.5,2,3.7,20,37,1,1.9,3,5.6,8,14.8,4,7.4,1,1.9,0,0
CITROEN,XANTIA FORTE,2000,1,0,0,1,100,0,0,1,100,0,0,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITROEN,XM,1993,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITROEN,XM,1994,2,1,50,1,50,0,0,0,0,1,50,0,0,0,0,0,0,0,0,1,50,0,0,0,0,1,50,0,0,0,0,0,0
CITROEN,XM,1995,1,0,0,1,100,0,0,1,100,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITROEN,XM,1996,2,1,50,1,50,0,0,0,0,1,50,0,0,0,0,0,0,0,0,1,50,0,0,1,50,0,0,0,0,0,0,0,0
CITROEN,XM,1997,4,1,25,3,75,0,0,2,50,1,25,0,0,0,0,0,0,2,50,1,25,0,0,0,0,0,0,1,25,0,0,0,0
CITROEN,XM,1998,3,1,33.3,2,66.7,0,0,1,33.3,0,0,0,0,0,0,1,33.3,0,0,0,0,0,0,0,0,0,0,1,33.3,0,0,0,0
CITROEN,XM,1999,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITROEN,XM,2000,1,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0
CITROEN,XSARA,1997,6,1,16.7,5,83.3,0,0,2,33.3,2,33.3,1,16.7,1,16.7,1,16.7,1,16.7,1,16.7,0,0,0,0,1,16.7,1,16.7,0,0,0,0
CITROEN,XSARA,1998,106,28,26.4,78,73.6,20,18.9,30,28.3,21,19.8,16,15.1,22,20.8,12,11.3,9,8.5,18,17,2,1.9,7,6.6,31,29.2,19,17.9,2,1.9,0,0
CITROEN,XSARA,1999,170,60,35.3,110,64.7,27,15.9,41,24.1,38,22.4,30,17.6,23,13.5,27,15.9,13,7.6,28,16.5,6,3.5,12,7.1,46,27.1,30,17.6,2,1.2,0,0
CITROEN,XSARA,2000,455,136,29.9,319,70.1,67,14.7,120,26.4,98,21.5,70,15.4,92,20.2,67,14.7,25,5.5,84,18.5,19,4.2,29,6.4,94,20.7,94,20.7,1,0.2,0,0
CITROEN,XSARA,2001,666,213,32,453,68,98,14.7,216,32.4,204,30.6,80,12,137,20.6,51,7.7,29,4.4,166,24.9,20,3,49,7.4,86,12.9,74,11.1,6,0.9,0,0
CITROEN,XSARA,2002,795,283,35.6,512,64.4,118,14.8,240,30.2,188,23.6,73,9.2,186,23.4,74,9.3,38,4.8,162,20.4,27,3.4,67,8.4,70,8.8,68,8.6,5,0.6,1,0.1
CITROEN,XSARA,2003,736,286,38.9,450,61.1,110,14.9,174,23.6,149,20.2,71,9.6,146,19.8,45,6.1,19,2.6,123,16.7,15,2,63,8.6,71,9.6,66,9,4,0.5,0,0
CITROEN,XSARA,2004,556,221,39.7,335,60.3,77,13.8,141,25.4,112,20.1,69,12.4,96,17.3,51,9.2,16,2.9,87,15.6,15,2.7,61,11,68,12.2,47,8.5,4,0.7,1,0.2
CITROEN,XSARA,2005,153,43,28.1,110,71.9,13,8.5,57,37.3,33,21.6,7,4.6,50,32.7,27,17.6,6,3.9,34,22.2,3,2,14,9.2,17,11.1,13,8.5,0,0,0,0
CITROEN,XSARA,2006,111,55,49.5,56,50.5,8,7.2,25,22.5,12,10.8,3,2.7,15,13.5,11,9.9,2,1.8,11,9.9,1,0.9,6,5.4,8,7.2,8,7.2,0,0,0,0
CITROEN,XSARA,2007,32,15,46.9,17,53.1,2,6.3,9,28.1,6,18.8,0,0,10,31.3,1,3.1,1,3.1,3,9.4,0,0,3,9.4,1,3.1,1,3.1,0,0,0,0
CITROEN,XSARA,2008,212,125,59,87,41,9,4.2,36,17,8,3.8,1,0.5,36,17,14,6.6,2,0.9,7,3.3,1,0.5,11,5.2,9,4.2,19,9,0,0,0,0
CITROEN,XSARA,2009,23,9,39.1,14,60.9,0,0,4,17.4,0,0,0,0,9,39.1,1,4.3,1,4.3,0,0,0,0,2,8.7,1,4.3,6,26.1,0,0,0,0
CITROEN,XSARA,2010,15,8,53.3,7,46.7,0,0,4,26.7,3,20,0,0,4,26.7,1,6.7,0,0,2,13.3,0,0,0,0,0,0,3,20,0,0,0,0
CITROEN,XSARA 1.6 PICASSO LX 5DR,2001,1,0,0,1,100,0,0,0,0,1,100,0,0,1,100,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0
CITROEN,XSARA PICASSO,2006,292,146,50,146,50,19,6.5,57,19.5,26,8.9,5,1.7,60,20.5,24,8.2,6,2.1,29,9.9,0,0,14,4.8,13,4.5,9,3.1,2,0.7,0,0
CITROEN,XSARA PICASSO,2007,22,9,40.9,13,59.1,2,9.1,8,36.4,0,0,0,0,3,13.6,4,18.2,0,0,0,0,0,0,1,4.5,0,0,1,4.5,0,0,0,0
CITROEN,XSARA PICASSO,2008,5,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITROEN,XSARA PICASSO,2010,32,15,46.9,17,53.1,1,3.1,4,12.5,1,3.1,1,3.1,4,12.5,2,6.3,1,3.1,0,0,0,0,1,3.1,0,0,15,46.9,0,0,0,0
CITROEN,XSARA PICASSO,2011,3,1,33.3,2,66.7,1,33.3,1,33.3,0,0,0,0,1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,1,33.3,0,0,0,0
CITROEN,ZX,1992,2,0,0,2,100,1,50,1,50,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITROEN,ZX,1993,4,2,50,2,50,1,25,0,0,1,25,0,0,0,0,0,0,0,0,1,25,1,25,0,0,0,0,0,0,0,0,0,0
CITROEN,ZX,1994,8,1,12.5,7,87.5,0,0,4,50,1,12.5,0,0,3,37.5,3,37.5,1,12.5,1,12.5,1,12.5,0,0,1,12.5,0,0,0,0,0,0
CITROEN,ZX,1995,18,10,55.6,8,44.4,2,11.1,1,5.6,2,11.1,0,0,2,11.1,1,5.6,1,5.6,1,5.6,0,0,1,5.6,3,16.7,1,5.6,1,5.6,0,0
CITROEN,ZX,1996,22,10,45.5,12,54.5,3,13.6,6,27.3,6,27.3,3,13.6,3,13.6,2,9.1,1,4.5,4,18.2,1,4.5,0,0,4,18.2,2,9.1,1,4.5,0,0
CITROEN,ZX,1997,19,4,21.1,15,78.9,6,31.6,6,31.6,3,15.8,2,10.5,5,26.3,2,10.5,3,15.8,1,5.3,1,5.3,1,5.3,3,15.8,1,5.3,0,0,0,0
CITROEN,ZX,1998,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITROEN,ZX,2008,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DACIA,LOGAN,2013,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DACIA,LOGAN,2014,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DACIA,OTHER,2007,4,1,25,3,75,0,0,3,75,0,0,0,0,0,0,0,0,1,25,0,0,0,0,1,25,0,0,0,0,0,0,0,0
DACIA,OTHER,2008,2,1,50,1,50,0,0,1,50,1,50,0,0,1,50,1,50,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0
DACIA,OTHER,2010,1,0,0,1,100,1,100,1,100,0,0,0,0,1,100,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0
DACIA,OTHER,2013,5,4,80,1,20,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DACIA,OTHER,2014,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DACIA,SANDERO,2009,2,0,0,2,100,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,1,50
DAEWOO,KALOS,2002,31,10,32.3,21,67.7,4,12.9,4,12.9,7,22.6,6,19.4,4,12.9,1,3.2,3,9.7,8,25.8,0,0,1,3.2,9,29,2,6.5,1,3.2,0,0
DAEWOO,KALOS,2003,788,299,37.9,489,62.1,132,16.8,158,20.1,134,17,115,14.6,157,19.9,30,3.8,77,9.8,116,14.7,15,1.9,26,3.3,174,22.1,27,3.4,2,0.3,0,0
DAEWOO,KALOS,2004,640,253,39.5,387,60.5,101,15.8,109,17,117,18.3,65,10.2,116,18.1,22,3.4,63,9.8,95,14.8,8,1.3,34,5.3,144,22.5,25,3.9,3,0.5,0,0
DAEWOO,KALOS,2005,1,0,0,1,100,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,1,100,1,100,0,0,0,0
DAEWOO,KORANDO,2001,2,0,0,2,100,0,0,1,50,0,0,0,0,2,100,0,0,0,0,0,0,0,0,0,0,1,50,1,50,0,0,0,0
DAEWOO,LACETTI,2004,145,59,40.7,86,59.3,16,11,29,20,18,12.4,24,16.6,28,19.3,7,4.8,10,6.9,12,8.3,2,1.4,9,6.2,33,22.8,9,6.2,1,0.7,0,0
DAEWOO,LANOS,1998,4,2,50,2,50,1,25,2,50,0,0,1,25,2,50,0,0,1,25,0,0,0,0,0,0,1,25,0,0,0,0,0,0
DAEWOO,LANOS,1999,273,89,32.6,184,67.4,67,24.5,80,29.3,45,16.5,54,19.8,47,17.2,19,7,37,13.6,36,13.2,9,3.3,11,4,64,23.4,14,5.1,0,0,0,0
DAEWOO,LANOS,2000,744,260,34.9,484,65.1,171,23,201,27,140,18.8,152,20.4,163,21.9,23,3.1,55,7.4,108,14.5,36,4.8,22,3,174,23.4,32,4.3,5,0.7,0,0
DAEWOO,LANOS,2001,328,125,38.1,203,61.9,62,18.9,82,25,49,14.9,65,19.8,68,20.7,16,4.9,19,5.8,34,10.4,18,5.5,11,3.4,72,22,22,6.7,1,0.3,0,0
DAEWOO,LANOS,2002,250,90,36,160,64,56,22.4,62,24.8,48,19.2,37,14.8,62,24.8,11,4.4,7,2.8,36,14.4,12,4.8,12,4.8,44,17.6,25,10,0,0,0,0
DAEWOO,LANOS,2003,13,4,30.8,9,69.2,0,0,2,15.4,2,15.4,4,30.8,5,38.5,1,7.7,1,7.7,3,23.1,0,0,0,0,5,38.5,3,23.1,0,0,0,0
DAEWOO,LEGANZA,1999,7,3,42.9,4,57.1,2,28.6,1,14.3,1,14.3,1,14.3,0,0,0,0,0,0,1,14.3,0,0,0,0,3,42.9,0,0,0,0,0,0
DAEWOO,LEGANZA,2000,3,1,33.3,2,66.7,0,0,0,0,1,33.3,1,33.3,1,33.3,0,0,0,0,0,0,0,0,0,0,1,33.3,0,0,0,0,0,0
DAEWOO,LEGANZA,2001,4,1,25,3,75,1,25,0,0,1,25,1,25,3,75,0,0,0,0,0,0,0,0,0,0,1,25,1,25,0,0,0,0
DAEWOO,LEGANZA,2002,8,1,12.5,7,87.5,1,12.5,3,37.5,1,12.5,5,62.5,2,25,0,0,0,0,1,12.5,0,0,0,0,6,75,1,12.5,0,0,0,0
DAEWOO,LEGANZA,2003,2,1,50,1,50,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
DAEWOO,MATIZ,1998,3,0,0,3,100,1,33.3,1,33.3,1,33.3,2,66.7,1,33.3,1,33.3,0,0,1,33.3,0,0,0,0,2,66.7,1,33.3,0,0,0,0
DAEWOO,MATIZ,1999,115,26,22.6,89,77.4,19,16.5,40,34.8,17,14.8,33,28.7,35,30.4,26,22.6,21,18.3,17,14.8,2,1.7,10,8.7,40,34.8,14,12.2,1,0.9,0,0
DAEWOO,MATIZ,2000,376,101,26.9,275,73.1,67,17.8,107,28.5,47,12.5,75,19.9,94,25,74,19.7,49,13,47,12.5,13,3.5,50,13.3,95,25.3,53,14.1,2,0.5,0,0
DAEWOO,MATIZ,2001,220,51,23.2,169,76.8,48,21.8,71,32.3,34,15.5,59,26.8,50,22.7,39,17.7,28,12.7,31,14.1,5,2.3,28,12.7,79,35.9,30,13.6,5,2.3,0,0
DAEWOO,MATIZ,2002,156,51,32.7,105,67.3,20,12.8,51,32.7,19,12.2,34,21.8,27,17.3,24,15.4,25,16,21,13.5,0,0,12,7.7,39,25,18,11.5,0,0,0,0
DAEWOO,MATIZ,2003,63,24,38.1,39,61.9,11,17.5,14,22.2,6,9.5,7,11.1,6,9.5,5,7.9,10,15.9,7,11.1,1,1.6,6,9.5,10,15.9,7,11.1,1,1.6,0,0
DAEWOO,MATIZ,2004,59,20,33.9,39,66.1,13,22,15,25.4,14,23.7,6,10.2,13,22,9,15.3,8,13.6,11,18.6,1,1.7,6,10.2,15,25.4,3,5.1,0,0,0,0
DAEWOO,MATIZ,2005,1,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,1,100,0,0,0,0,0,0,0,0
DAEWOO,MUSSO,2001,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAEWOO,NUBIRA,1998,3,0,0,3,100,0,0,0,0,2,66.7,0,0,1,33.3,1,33.3,0,0,2,66.7,0,0,0,0,2,66.7,1,33.3,0,0,0,0
DAEWOO,NUBIRA,1999,9,1,11.1,8,88.9,0,0,3,33.3,5,55.6,4,44.4,1,11.1,0,0,0,0,3,33.3,1,11.1,0,0,4,44.4,1,11.1,0,0,0,0
DAEWOO,NUBIRA,2000,15,2,13.3,13,86.7,4,26.7,6,40,3,20,6,40,5,33.3,0,0,1,6.7,3,20,0,0,0,0,7,46.7,1,6.7,0,0,0,0
DAEWOO,NUBIRA,2001,20,4,20,16,80,2,10,7,35,2,10,3,15,1,5,0,0,0,0,3,15,0,0,2,10,6,30,3,15,0,0,0,0
DAEWOO,NUBIRA,2002,3,1,33.3,2,66.7,0,0,0,0,0,0,1,33.3,1,33.3,1,33.3,0,0,1,33.3,0,0,0,0,1,33.3,2,66.7,0,0,0,0
DAEWOO,NUBIRA,2003,34,13,38.2,21,61.8,4,11.8,7,20.6,4,11.8,10,29.4,10,29.4,5,14.7,3,8.8,2,5.9,2,5.9,3,8.8,11,32.4,1,2.9,0,0,0,0
DAEWOO,NUBIRA,2004,245,94,38.4,151,61.6,26,10.6,55,22.4,28,11.4,56,22.9,47,19.2,18,7.3,11,4.5,16,6.5,9,3.7,15,6.1,69,28.2,9,3.7,1,0.4,0,0
DAEWOO,OTHER,1997,2,0,0,2,100,0,0,1,50,1,50,0,0,0,0,0,0,0,0,1,50,0,0,1,50,1,50,0,0,0,0,0,0
DAEWOO,OTHER,2001,15,7,46.7,8,53.3,3,20,2,13.3,3,20,2,13.3,3,20,1,6.7,5,33.3,2,13.3,1,6.7,0,0,2,13.3,1,6.7,0,0,0,0
DAEWOO,OTHER,2002,8,1,12.5,7,87.5,2,25,3,37.5,2,25,2,25,5,62.5,1,12.5,0,0,1,12.5,1,12.5,1,12.5,3,37.5,0,0,0,0,0,0
DAEWOO,OTHER,2003,18,1,5.6,17,94.4,7,38.9,7,38.9,7,38.9,6,33.3,8,44.4,5,27.8,1,5.6,7,38.9,0,0,4,22.2,11,61.1,6,33.3,0,0,0,0
DAEWOO,OTHER,2004,7,0,0,7,100,4,57.1,4,57.1,2,28.6,2,28.6,2,28.6,2,28.6,1,14.3,2,28.6,0,0,1,14.3,2,28.6,2,28.6,0,0,0,0
DAEWOO,REXTON,2004,36,4,11.1,32,88.9,13,36.1,17,47.2,13,36.1,3,8.3,13,36.1,7,19.4,4,11.1,11,30.6,2,5.6,5,13.9,8,22.2,3,8.3,1,2.8,0,0
DAEWOO,TACUMA,2002,27,9,33.3,18,66.7,3,11.1,6,22.2,1,3.7,11,40.7,8,29.6,0,0,5,18.5,1,3.7,1,3.7,0,0,11,40.7,5,18.5,0,0,0,0
DAEWOO,TACUMA,2003,30,10,33.3,20,66.7,5,16.7,8,26.7,4,13.3,7,23.3,10,33.3,0,0,3,10,2,6.7,0,0,3,10,8,26.7,8,26.7,0,0,0,0
DAEWOO,TACUMA,2004,57,22,38.6,35,61.4,8,14,14,24.6,9,15.8,12,21.1,19,33.3,4,7,2,3.5,3,5.3,0,0,4,7,13,22.8,6,10.5,1,1.8,0,0
DAEWOO,TACUMA,2005,2,0,0,2,100,1,50,0,0,1,50,1,50,1,50,1,50,0,0,0,0,0,0,0,0,1,50,1,50,0,0,0,0
DAIHATSU,CHARADE,1984,1,0,0,1,100,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0
DAIHATSU,CHARADE,1985,2,1,50,1,50,0,0,0,0,1,50,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0
DAIHATSU,CHARADE,1987,1,0,0,1,100,0,0,0,0,1,100,0,0,1,100,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0
DAIHATSU,CHARADE,1989,2,1,50,1,50,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
DAIHATSU,CHARADE,1990,7,2,28.6,5,71.4,2,28.6,2,28.6,1,14.3,1,14.3,1,14.3,1,14.3,0,0,0,0,1,14.3,0,0,2,28.6,0,0,0,0,0,0
DAIHATSU,CHARADE,1991,5,1,20,4,80,0,0,2,40,3,60,0,0,1,20,1,20,1,20,1,20,2,40,1,20,2,40,0,0,0,0,0,0
DAIHATSU,CHARADE,1992,12,7,58.3,5,41.7,1,8.3,3,25,2,16.7,1,8.3,0,0,1,8.3,1,8.3,1,8.3,1,8.3,3,25,2,16.7,1,8.3,0,0,0,0
DAIHATSU,CHARADE,1993,18,7,38.9,11,61.1,4,22.2,1,5.6,2,11.1,5,27.8,4,22.2,2,11.1,1,5.6,1,5.6,4,22.2,0,0,7,38.9,2,11.1,0,0,0,0
DAIHATSU,CHARADE,1994,7,3,42.9,4,57.1,1,14.3,0,0,3,42.9,0,0,1,14.3,1,14.3,0,0,2,28.6,3,42.9,0,0,1,14.3,1,14.3,0,0,0,0
DAIHATSU,CHARADE,1995,6,2,33.3,4,66.7,2,33.3,2,33.3,0,0,0,0,2,33.3,0,0,0,0,0,0,0,0,0,0,0,0,2,33.3,0,0,0,0
DAIHATSU,CHARADE,1996,1,0,0,1,100,0,0,1,100,1,100,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,1,100,0,0,0,0
DAIHATSU,CHARADE,1997,15,8,53.3,7,46.7,1,6.7,2,13.3,0,0,1,6.7,3,20,1,6.7,1,6.7,0,0,0,0,0,0,0,0,4,26.7,0,0,0,0
DAIHATSU,CHARADE,1998,1,0,0,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAIHATSU,CHARADE,2001,1,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAIHATSU,CHARADE,2003,43,18,41.9,25,58.1,2,4.7,4,9.3,6,14,4,9.3,7,16.3,4,9.3,3,7,4,9.3,2,4.7,4,9.3,8,18.6,5,11.6,1,2.3,0,0
DAIHATSU,CHARADE,2004,74,44,59.5,30,40.5,6,8.1,7,9.5,5,6.8,2,2.7,12,16.2,6,8.1,3,4.1,6,8.1,0,0,4,5.4,5,6.8,5,6.8,0,0,0,0
DAIHATSU,CHARADE,2005,11,8,72.7,3,27.3,1,9.1,2,18.2,1,9.1,0,0,0,0,0,0,0,0,1,9.1,0,0,0,0,0,0,0,0,0,0,0,0
DAIHATSU,CHARADE,2006,28,22,78.6,6,21.4,2,7.1,0,0,0,0,0,0,4,14.3,1,3.6,1,3.6,0,0,0,0,0,0,0,0,2,7.1,0,0,0,0
DAIHATSU,CHARADE,2007,3,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAIHATSU,CHARMANT,1985,3,0,0,3,100,1,33.3,0,0,1,33.3,0,0,2,66.7,0,0,1,33.3,1,33.3,1,33.3,0,0,0,0,0,0,0,0,0,0
DAIHATSU,CHARMANT,1986,1,0,0,1,100,1,100,0,0,1,100,0,0,0,0,1,100,0,0,1,100,1,100,0,0,1,100,0,0,0,0,0,0
DAIHATSU,CHARMANT,1987,1,0,0,1,100,0,0,0,0,1,100,0,0,0,0,1,100,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0
DAIHATSU,COPEN,2003,1,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0
DAIHATSU,COPEN,2004,6,5,83.3,1,16.7,0,0,1,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAIHATSU,COPEN,2006,2,1,50,1,50,1,50,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAIHATSU,COPEN,2007,4,2,50,2,50,2,50,1,25,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAIHATSU,COPEN,2008,10,8,80,2,20,2,20,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAIHATSU,COPEN,2009,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAIHATSU,COPEN,2010,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAIHATSU,CUORE,1999,77,25,32.5,52,67.5,2,2.6,17,22.1,14,18.2,8,10.4,11,14.3,19,24.7,16,20.8,14,18.2,0,0,3,3.9,12,15.6,13,16.9,1,1.3,0,0
